4ZG3, 1.378
5LQ4, 1.7712
5LQ4, 3.0955
5OFR, 2.26
5TCL, 4.95937
6DZ1, 3.35
6EQD, 2.4551
6EQE, 1.2398
6HJ4, 2.7552
6JJF, 1.5895
6JJF, 3.3509
6JJF, 1.5895
6JJH, 1.7712
6JJH, 3.3509
6OWX, 2.3843
6QNQ, 3.351
6QNQ, 3.542
6QNQ, 3.531
6QNQ, 3.542
6QNR, 3.351
6QNR, 3.542
6QNR, 3.351
6QNR, 3.542
6QNR, 3.351
6QNR, 3.542
6QNR, 3.351
6STL, 2.3751
6TKC, 2.755
6TKE, 2.755
6TQI, 3.0996
6VKF, 2.7551
6W7C, 2.75
6W84, 2.75
6W85, 2.75
6W8C, 2.75
6Y4L, 2.755
6YO1, 2.26
6YSO, 2.26009
6ZPS, 2.755
6ZPV, 1.3775
7O56, 2.7552
7PK2, 2.755
7S6F, 2.7552
7ZSF, 4.42801
7ZSF, 4.27532
